dosage2,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
KGN O.TOP U-D LIQ,228166670.0,2016,11,1,1,33,10,48
HVA R SYS GEL/SOLS,220636097.0,432,2,1,1,8,4,48
MHA PRES.AERO.TOP.,218171484.0,9984,45,1,1,120,30,48
MWB COTTON W SUB,208214342.0,1008,6,1,1,18,9,48
TEP VAG.U-DOSE PDR,206960549.0,1680,3,1,1,24,15,48
MTY OTHER CREAMS,191300673.0,432,6,1,1,8,5,48
TGS VAGINAL LOTION,183756800.0,192,3,1,1,3,4,48
GMA AMPOULES RET,178856109.0,3264,12,1,1,45,23,48
IGJ N.SYS DRY DROP,166695356.0,336,2,1,1,7,3,48
KGB O.TOP DROPS,159983294.0,528,10,1,1,10,7,48
MYY OTH SPC FORMS,153111996.0,912,16,1,1,13,8,48
HHP R SYS U-D AERO,149594107.0,6144,5,1,1,50,30,48
VED N-H USE SOLIDS,148036133.0,32592,286,1,1,60,16,48
DKJ INSTANT TEAS,125387251.0,1248,5,1,1,22,9,48
BEY OTH PDR/GRN RT,121346680.0,480,3,1,1,9,1,48
GNB PF SYR DRY RET,120570587.0,16704,7,1,1,95,38,48
TSA OINTMENT VAG.,118528390.0,384,5,1,1,8,5,48
MHT PRESSURE FOAMS,117867413.0,10080,29,1,1,107,35,48
NTA OPHTH.CREAMS,113433293.0,96,2,1,1,2,2,48
KAE O.T. BUCC TAB,113341685.0,1200,7,1,1,22,12,48
ADR OR S GLOBULES,111043569.0,12000,57,1,1,25,6,48
JSA OTH OINTMENT,108648326.0,384,3,1,1,7,6,48
FPY VIAL OTHER,105102173.0,4512,22,1,1,58,26,48
KDF O.TOP CHEW-GUM,96137022.0,96,2,1,1,2,2,48
ADQ CAKES/CHOC/BAR,92258477.0,960,8,1,1,19,10,48
TGW VAG.LIQ.SOAP,90546564.0,2640,11,1,1,48,8,48
KWY OTH MED DRESS,90520877.0,432,4,1,1,9,6,48
KHA O.T.PRESS.AERO,89133653.0,1200,12,1,1,20,16,48
MJB BATH SUB SOLID,87483792.0,528,2,1,1,11,5,48
TGN VAG U-D LIQ,84783467.0,912,8,1,1,13,13,48
QTA N.TOP CREAM,84327520.0,144,2,1,1,3,2,48
AYG FOOD READY,80677870.0,4080,4,1,1,71,18,48
ZYY UNSPECIFIED,80501620.0,5904,78,1,1,43,9,48
TGA VAGINAL LIQUID,72296247.0,3216,15,1,1,49,24,48
NNA P-FIL SYR OPHT,71442477.0,14208,9,1,1,127,37,48
MEP TOP U-D PWDR,70128322.0,336,5,1,1,5,6,48
NWD OPHT.PAD W SUB,69717180.0,96,2,1,1,2,2,48
KEP O.TOP U-D PWDR,68085918.0,1152,6,1,1,22,7,48
QHA N.T. PRES.AERO,64382123.0,3600,9,1,1,54,21,48
FRA CARTRIDGES,64009883.0,10704,7,1,1,65,38,48
MTL EMULSION CREAM,64006612.0,288,4,1,1,6,4,48
DGF SUBLING LIQ,62654098.0,2352,12,1,1,29,17,48
VYY N-HUM UNKNOWN,58097598.0,48,1,1,1,1,1,48
TVW VAG WASH GELS,56748100.0,144,3,1,1,3,2,48
FNB PF SYR DRY ORD,53696917.0,1680,5,1,1,13,19,48
TAZ C-PCK TAB.VAG,50844205.0,1488,4,1,1,16,14,48
TWE TAMPON W SUB,49367779.0,144,3,1,1,2,2,48
MTP TOP M-D CREAMS,48725324.0,1056,3,1,1,12,17,48
TYR VAGINAL I.U.D.,48341379.0,5568,2,1,1,48,38,48
FQB INFUS.DRY AMPS,47860854.0,4608,39,1,1,64,28,48
VAH N-H EFFERV TAB,46387192.0,144,3,1,1,3,2,48
KAZ O.T. C-PK TAB,45582720.0,48,1,1,1,1,1,48
TLZ VAG C-PCK SUPP,44978081.0,1776,7,1,1,22,13,48
FRB DRY CARTRIDGE,44800527.0,4032,2,1,1,32,28,48
IHP NA SYS M-D AER,44771335.0,240,4,1,1,5,3,48
ADP CUBES,44543885.0,288,5,1,1,5,5,48
ASB ORAL PASTE,43695702.0,336,3,1,1,7,6,48
GMY OTH AMPS RET,41885227.0,192,4,1,1,4,4,48
HLX R SYS MICRO EN,41283753.0,1872,4,1,1,22,23,48
JTA OTH SYS CREAMS,41258368.0,432,4,1,1,6,5,48
TTN VAG U-D CREAMS,40822292.0,816,6,1,1,14,8,48
MJL BATH EMULSION,40035460.0,144,2,1,1,3,2,48
JGC SPRAY W/O PRES,36931575.0,288,1,1,1,6,2,48
QEA N.TOP POWDER,35673983.0,432,4,1,1,9,6,48
GNA PRE-FIL SYR RT,34716991.0,768,4,1,1,9,11,48
ZGA UNKNOWN LIQUID,33855425.0,144,2,1,1,2,2,48
MPB TOP. DRY VIALS,32264762.0,4128,5,1,1,46,33,48
TWY VAG OTH MED DR,29279440.0,96,2,1,1,2,2,48
MHC PRES.POWD.TOP.,29009306.0,1200,7,1,1,18,17,48
QGE N.T. LIQ.INHAL,28831340.0,144,3,1,1,3,2,48
KAK O.T. SOL TABS,27038205.0,576,2,1,1,12,2,48
AEY OTH PWDR/GRNL,26810340.0,2112,6,1,1,21,20,48
NPB OPHT DRY VIALS,26267779.0,1824,5,1,1,11,24,48
MZK GEL+COLLOID DR,26141621.0,6240,12,1,1,68,11,48
EEP RET U-D PWDR,24991781.0,768,3,1,1,5,15,48
MJT FOAM BATH,24762348.0,192,3,1,1,4,3,48
MTZ COMB-PCK CREAM,24199529.0,1008,7,1,1,14,9,48
PGP OTIC M-D LIQ,22836954.0,336,3,1,1,6,2,48
MWH SPONGES W SUB,21064326.0,768,7,1,1,14,10,48
BEB RET GRN N.O.S,20382820.0,384,3,1,1,8,1,48
MZY OTHER MED.AIDS,19961933.0,2832,15,1,1,46,10,48
KDY OTH SPEC FORM,19268206.0,240,2,1,1,5,2,48
MYW SOLID SOAP/BAR,18492465.0,3600,22,1,1,59,17,48
MZD PADS W/O SUB,18065278.0,4512,9,1,1,49,3,48
IVP NA SYS M-D GEL,16716660.0,144,1,1,1,2,3,48
NGC OPH SP W/O GAS,15165900.0,432,2,1,1,8,5,48
PGK OTIC SUSPENS.,14866800.0,96,2,1,1,2,2,48
MSL EMULSION OINTS,14429983.0,192,4,1,1,2,2,48
NPA OPHTHAL VIALS,13933885.0,6768,8,1,1,52,37,48
HCA RECT SYST CAPS,13367347.0,384,4,1,1,6,6,48
MGZ COMBI-PACK LIQ,13113150.0,2880,25,1,1,43,12,48
NSN OPHT U-D OINTS,13067763.0,384,4,1,1,8,4,48
KCA O.TOP CAPSULES,12505460.0,96,2,1,1,2,2,48
VMA N-HUM USE AMPS,12356221.0,672,4,1,1,14,5,48
GNE P-F SYR SC RET,12231103.0,6192,7,1,1,50,33,48
BCN RET MEMBR CAPS,11866616.0,96,2,1,1,2,2,48
QYM N.T.ROLL/STICK,11471583.0,192,2,1,1,4,2,48
KZY OTHER MED AID,11150764.0,96,2,1,1,2,2,48
FRG DRY P-F PENS,11015392.0,1680,2,1,1,17,20,48
MNA P-FILL SYR TOP,10790014.0,1056,4,1,1,18,11,48
EEK RET SOLUB PDR.,10774780.0,528,4,1,1,10,4,48
VVA N-HUM.GEL/SOL,10766734.0,384,5,1,1,8,4,48
TGL VAG.LIQ.EMULS.,10223775.0,48,1,1,1,1,1,48
HEX R SYS ENEM PWD,10105935.0,96,1,1,1,2,1,48
NAK OPHT SOL TABS,10023005.0,96,1,1,1,2,1,48
ACF BITE CAPSULES,9439909.0,96,1,1,1,2,2,48
JGA SYST.LIQUIDS,9361504.0,96,2,1,1,2,2,48
QCT N.TOP INH.CAP,8939951.0,144,3,1,1,3,2,48
NGZ OPTH C-PCK LIQ,8777468.0,816,7,1,1,13,2,48
KVN OR TOP U-D GEL,8732474.0,768,5,1,1,7,11,48
MWG BANDAGES W SUB,8688186.0,432,3,1,1,7,4,48
MHP TOP U-DSE AERO,8055089.0,432,3,1,1,4,9,48
MZA PLAST W/O SUB,7721011.0,1776,12,1,1,30,7,48
GYV IMPLANTS,7599877.0,2400,11,1,1,31,24,48
HAX R SYS ENEM TAB,7542004.0,1488,1,1,1,17,20,48
NHA OPHT PRES.AERO,7181027.0,96,1,1,1,2,2,48
GPE VIAL SC RET,7034111.0,1344,2,1,1,11,14,48
FNF P-F SYRNG I D,6782031.0,624,1,1,1,2,12,48
BAE RET.BUCCAL TAB,6177280.0,96,1,1,1,2,2,48
KGD COLLOD/LACQUER,5823402.0,528,3,1,1,6,5,48
MHS PRESS OINT+CRM,5576729.0,192,4,1,1,4,2,48
NWC OP.GAUZ/FLEECE,5137080.0,96,2,1,1,2,2,48
MYK TOP STYLI/CONE,5120263.0,768,1,1,1,3,15,48
QGZ N.T. C-PCK LIQ,4996871.0,192,3,1,1,4,3,48
MGT SHAKING MIXT,4929936.0,48,1,1,1,1,1,48
